Items  Description,Duration,Andhra Pradesh ,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal1,Andaman & Nicobar Islands,Chandigarh,Delhi,Puducherry,All_India GDP
GSDP - CURRENT PRICES (` in Crore),2011-12,379402,11063,143175,247144,158074,42367,615606,297539,72720,78256,150918,606010,364048,315562,1280369,12915,19918,7259,12177,230987,266628,434837,11165,751486,359434,19208,724050,115328,520485,3978,18768,343798,16818,8736039
GSDP - CURRENT PRICES (` in Crore),2012-13,411404,12547,156864,282368,177511,38120,724495,347032,82820,87138,174724,695413,412313,380925,1459629,13743,21872,8362,14121,261700,297734,493551,12338,854825,401594,21663,822393,131613,591464,4421,21609,391388,18875,9946636
GSDP - CURRENT PRICES (` in Crore),2013-14,464272,14581,177745,317101,206833,35921,807623,399268,94764,95619,188567,816666,465041,439483,1649647,16182,22938,10293,16612,296475,332147,551031,13862,968530,451580,25593,940356,149074,676848,5023,24822,443960,21870,11236635
GSDP - CURRENT PRICES (` in Crore),2014-15,524976,17959,195723,342951,221118,47814,921773,437145,103772,98367,218525,913923,512564,479939,1779138,18129,23235,13509,18401,314250,355102,615642,15407,1072678,505849,29533,1011790,161439,718082,5477,26549,494803,22574,12433749
GSDP - CURRENT PRICES (` in Crore),2015-16,604229,18509,227959,371602,225163,55054,1029010,495504,114239,117168,206613,1045168,561994,541068,1966225,19531,25117,15139,19524,328550,390087,681482,18034,1176500,577902,35938,1137808,177163,797300,6032,29275,550804,26617,13675331
GSDP - CURRENT PRICES (` in Crore),2016-17,684416,19845,254382,421051,250882,62976,1167156,561610,125634,124848,236250,1209136,634886,649823,2198324,21294,27439,17192,21722,392708,426988,760750,20687,1302639,658325,39479,1290289,195125,872527,6836,32427,616085,29573,15391669
GSDP - CURRENT PRICES (` in Crore),2017-18,793186,22432,283165,468746,274042,69352,1329095,649592,138351,139240,269816,1357579,701577,724729,2382570,25789,29508,18740,24492,440517,470834,835170,25971,1465051,753127,43716,1460443,222836,974700,7871,36870,686824,32962,17098303.77
GSDP - CURRENT PRICES (` in Crore),2018-19,862957,24603,315881,530363,304063,73170,1502899,734163,153845,155956,297204,1544399,781653,809592,2632792,27869,33481,19520,27283,492229,526376,942586,28723,1630208,861031,49845,1668229,245895,1089898,NA,42114,774870,36656,18971236.9
GSDP - CURRENT PRICES (` in Crore),2019-20,972782,NA,NA,611804,329180,NA,NA,831610,165472,NA,328598,1699115,NA,906672,NA,NA,36572,NA,NA,531374,574760,1020989,32496,1845853,969604,55358,1794508,NA,1253832,NA,NA,856112,40802,20339848.88
(% Growth over previous year),2012-13,8.43,13.41,9.56,14.25,12.3,-10.02,17.69,16.63,13.89,11.35,15.77,14.75,13.26,20.71,14,6.42,9.81,15.2,15.97,13.3,11.67,13.5,10.51,13.75,11.73,12.78,13.58,14.12,13.64,11.13,15.13,13.84,12.23,13.85750453
(% Growth over previous year),2013-14,12.85,16.22,13.31,12.3,16.52,-5.77,11.47,15.05,14.42,9.73,7.92,17.44,12.79,15.37,13.02,17.75,4.87,23.1,17.64,13.29,11.56,11.65,12.35,13.3,12.45,18.14,14.34,13.27,14.44,13.6,14.87,13.43,15.87,12.96919883
(% Growth over previous year),2014-15,13.08,23.17,10.11,8.15,6.91,33.11,14.13,9.49,9.51,2.87,15.89,11.91,10.22,9.21,7.85,12.03,1.29,31.24,10.77,6,6.91,11.73,11.14,10.75,12.02,15.4,7.6,8.29,6.09,9.05,6.96,11.45,3.22,10.65366989
(% Growth over previous year),2015-16,15.1,3.06,16.47,8.35,1.83,15.14,11.63,13.35,10.09,19.11,-5.45,14.36,9.64,12.74,10.52,7.73,8.1,12.06,6.1,4.55,9.85,10.69,17.05,9.68,14.24,21.68,12.45,9.74,11.03,10.12,10.27,11.32,17.91,9.985580375
(% Growth over previous year),2016-17,13.27,7.22,11.59,13.31,11.42,14.39,13.43,13.34,9.97,6.55,14.34,15.69,12.97,20.1,11.8,9.03,9.24,13.56,11.26,19.53,9.46,11.63,14.71,10.72,13.92,9.86,13.4,10.14,9.44,13.33,10.77,11.85,11.11,12.55061406
(% Growth over previous year),2017-18,15.89,13.04,11.31,11.33,9.23,10.12,13.87,15.67,10.12,11.53,14.21,12.28,10.5,11.53,8.38,21.11,7.54,9.01,12.75,12.17,10.27,9.78,25.54,12.47,14.4,10.73,13.19,14.2,11.71,15.14,13.7,11.48,11.46,11.08804221
(% Growth over previous year),2018-19,8.8,9.68,11.55,13.15,10.95,5.51,13.08,13.02,11.2,12.01,10.15,13.76,11.41,11.71,10.5,8.06,13.46,4.16,11.4,11.74,11.8,12.86,10.6,11.27,14.33,14.02,14.23,10.35,11.82,NA,14.22,12.82,11.21,10.95391186
(% Growth over previous year),2019-20,12.73,NA,NA,15.36,8.26,NA,NA,13.27,7.56,NA,10.56,10.02,NA,11.99,NA,NA,9.23,NA,NA,7.95,9.19,8.32,13.13,13.23,12.61,11.06,7.57,NA,15.04,NA,NA,10.48,11.31,7.214142062
